Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2020,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Accountants and auditors    ,13-2011,"1,436.10","1,497.90",61.7,4.3,125.7,"73,560",Bachelor's degree,3,None,4,None,6
Actors    ,27-2011,70.1,72.2,2.1,3.1,7.1,N/A,"Some college, no degree",6,None,4,Long-term on-the-job training,3
Actuaries    ,15-2011,27.7,32.6,4.9,17.6,2,"111,030",Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",29-1298,49.6,49.4,-0.1,-0.3,2.3,"82,420",Master's degree,2,None,4,None,6
Adhesive bonding machine operators and tenders    ,51-9191,14,13.7,-0.2,-1.8,1.4,"36,280",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Administrative law judges, adjudicators, and hearing officers    ",23-1021,15.4,15.4,0,0.3,0.7,"97,520",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5
Administrative services and facilities managers,11-3010,325.9,347,21.2,6.5,26.3,"98,890",Bachelor's degree,3,Less than 5 years,2,None,6
"Adult basic education, adult secondary education, and English as a Second Language instructors    ",25-3011,59.3,53.1,-6.2,-10.4,5.3,"55,350",Bachelor's degree,3,None,4,None,6
Advertising and promotions managers    ,11-2011,28.6,28.3,-0.3,-1.1,2.5,"133,460",Bachelor's degree,3,Less than 5 years,2,None,6
Advertising sales agents    ,41-3011,139.2,130.2,-9,-6.5,14.4,"54,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Aerospace engineering and operations technologists and technicians    ,17-3021,11.9,12.7,0.8,7,1.1,"68,570",Associate's degree,4,None,4,None,6
Aerospace engineers    ,17-2011,66.4,68.2,1.9,2.8,3.9,"118,610",Bachelor's degree,3,None,4,None,6
"Agents and business managers of artists, performers, and athletes    ",13-1011,21.9,24.4,2.6,11.8,2.7,"75,420",Bachelor's degree,3,Less than 5 years,2,None,6
Agricultural and food science technicians,19-4010,24.2,25.1,1,4.1,2.8,"41,970",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Agricultural engineers    ,17-2021,1.7,1.7,0,1.6,0.1,"84,410",Bachelor's degree,3,None,4,None,6
Agricultural equipment operators    ,45-2091,70.3,78.3,8,11.4,11.6,"32,750",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Agricultural inspectors    ,45-2011,15.2,15.5,0.3,1.8,2.2,"46,700",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Agricultural sciences teachers, postsecondary    ",25-1041,11.4,11.7,0.2,2.1,0.9,"90,340",Doctoral or professional degree,1,None,4,None,6
